"Gene_set","Database","Pathway_ID","Pathway","GeneRatio","BgRatio","Count","P_value","Adjusted_P_value_FDR","Genes"
"loss_up","GO_BP","GO:0060326","cell chemotaxis","1/3","20/1522",1,0.0389313085916745,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0007160","cell-matrix adhesion","1/3","21/1522",1,0.0408508865372303,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0022604","regulation of cell morphogenesis","1/3","21/1522",1,0.0408508865372303,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0001667","ameboidal-type cell migration","1/3","22/1522",1,0.0427679067506803,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0010563","negative regulation of phosphorus metabolic process","1/3","22/1522",1,0.0427679067506803,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0043086","negative regulation of catalytic activity","1/3","22/1522",1,0.0427679067506803,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0045936","negative regulation of phosphate metabolic process","1/3","22/1522",1,0.0427679067506803,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0030336","negative regulation of cell migration","1/3","23/1522",1,0.0446823709371789,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0060491","regulation of cell projection assembly","1/3","23/1522",1,0.0446823709371789,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0120032","regulation of plasma membrane bounded cell projection assembly","1/3","23/1522",1,0.0446823709371789,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:2000146","negative regulation of cell motility","1/3","23/1522",1,0.0446823709371789,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0040013","negative regulation of locomotion","1/3","24/1522",1,0.0465942808018808,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0048762","mesenchymal cell differentiation","1/3","24/1522",1,0.0465942808018808,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0002429","immune response-activating cell surface receptor signaling pathway","1/3","25/1522",1,0.0485036380499413,0.192823313249424,"ELF1"
"loss_up","GO_BP","GO:0002768","immune response-regulating cell surface receptor signaling pathway","1/3","26/1522",1,0.0504104443865147,0.192823313249424,"ELF1"
"loss_up","GO_BP","GO:1901888","regulation of cell junction assembly","1/3","26/1522",1,0.0504104443865147,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0007162","negative regulation of cell adhesion","1/3","27/1522",1,0.0523147015167554,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0016197","endosomal transport","1/3","27/1522",1,0.0523147015167554,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0045859","regulation of protein kinase activity","1/3","27/1522",1,0.0523147015167554,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0060485","mesenchyme development","1/3","27/1522",1,0.0523147015167554,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0045637","regulation of myeloid cell differentiation","1/3","28/1522",1,0.0542164111458188,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0050900","leukocyte migration","1/3","28/1522",1,0.0542164111458188,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0002573","myeloid leukocyte differentiation","1/3","29/1522",1,0.0561155749788594,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0043085","positive regulation of catalytic activity","1/3","29/1522",1,0.0561155749788594,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0043549","regulation of kinase activity","1/3","29/1522",1,0.0561155749788594,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0048863","stem cell differentiation","1/3","29/1522",1,0.0561155749788594,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0006935","chemotaxis","1/3","30/1522",1,0.058012194721032,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0042330","taxis","1/3","30/1522",1,0.058012194721032,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0021537","telencephalon development","1/3","31/1522",1,0.0599062720774909,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0031400","negative regulation of protein modification process","1/3","31/1522",1,0.0599062720774909,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0044092","negative regulation of molecular function","1/3","31/1522",1,0.0599062720774909,0.192823313249424,"CORO1C"
"loss_up","GO_BP","GO:0031589","cell-substrate adhesion","1/3","32/1522",1,0.0617978087533914,0.195769463451186,"CORO1C"
